,instance,worst_makespan_before_vns,worst_makespan_after_vns,improvement
58,u_i_hilo,74381.23025699999,74291.32043900002,0.1208770246059587
59,u_i_hilo,74017.83236899998,74008.583206,0.012495857692607
60,u_i_hilo,73798.32493499998,73726.61486799999,0.0971703179755811
61,u_i_hilo,74325.494865,74112.035866,0.2871948574142857
62,u_i_hihi,3200930.6705330005,3107217.912109,2.927672232538414
63,u_i_hihi,3063636.088012,3062148.202452,0.0485660018767486
64,u_i_hihi,3039881.488281,3038662.3427730007,0.0401050341172548
65,u_i_hihi,3134701.466796,3087071.055236,1.519456065099667
66,u_i_hihi,3200930.6705330005,3054123.005248001,4.586405654970161
67,u_i_hihi,3041142.725647,3041142.725647,0.0
68,u_i_hihi,3040857.5654900004,3039017.2568960004,0.0605193947551319
69,u_i_hihi,3016008.590393001,3012928.310546,0.102131003764827
70,u_i_hihi,3200930.6705330005,3162435.5220950004,1.2026236241970856
71,u_i_hihi,3068267.4240729995,3053417.8634029995,0.4839721777017636
72,u_i_hihi,3025075.212768001,3013731.1269520004,0.375001777414341
73,u_i_hihi,3150345.603819,3071103.143067,2.51535770094361
74,u_i_lohi,113156.733552,108361.479163,4.237710155177266
75,u_i_lohi,106372.333832,106110.8916,0.2457802913423901
76,u_i_lohi,105541.124025,105541.124025,0.0
77,u_i_lohi,109862.57656899998,108794.415677,0.9722700171055254
78,u_i_lohi,113156.733552,110507.944848,2.3408140380640763
79,u_i_lohi,105942.210079,104336.62246600002,1.5155315447947793
80,u_i_lohi,105398.588746,105291.215728,0.1018732976195146
81,u_i_lohi,106993.262712,105907.186294,1.0150886050866892
82,u_i_lohi,113156.733552,109356.12399399998,3.3587126799250355
83,u_i_lohi,107087.401217,107087.401217,0.0
84,u_i_lohi,105797.42910899998,105637.020071,0.1516190320983268
85,u_i_lohi,105735.822236,105735.822236,0.0
86,u_i_lolo,2576.4555640000003,2565.695429,0.4176332458571519
87,u_i_lolo,2565.0288710000004,2556.8179140000007,0.3201116795538694
88,u_i_lolo,2564.1634760000006,2556.8179140000007,0.2864701127191282
89,u_i_lolo,2562.6418430000003,2556.0263310000005,0.2581520323673203
90,u_i_lolo,2576.4555640000003,2565.695429,0.4176332458571519
91,u_i_lolo,2560.037656000001,2560.037656000001,0.0
92,u_i_lolo,2569.7819390000004,2564.1634760000006,0.2186357883029566
93,u_i_lolo,2555.314214,2555.314214,0.0
94,u_i_lolo,2576.4555640000003,2570.610167,0.2268774622654623
95,u_i_lolo,2564.44758,2555.314214,0.3561533513584236
96,u_i_lolo,2564.1634760000006,2564.1634760000006,0.0
97,u_i_lolo,2563.7097410000006,2556.7460190000006,0.2716267714957365
98,u_c_hilo,157585.48670900002,155843.25950199997,1.105575927951585
99,u_c_hilo,154358.03881899998,153815.141966,0.3517127174935019
100,u_c_hilo,155594.17425099996,154921.027904,0.432629531433526
101,u_c_hilo,154170.24039300007,153947.18801699998,0.1446792684706932
102,u_c_hilo,165307.258789,161963.70096000002,2.0226321901978594
103,u_c_hilo,154640.949708,154216.83282399998,0.2742591045908904
104,u_c_hilo,153888.53894000003,153720.62670300005,0.1091128931085982
105,u_c_hilo,154033.94823999997,153910.6958,0.0800164128805791
106,u_c_hilo,165307.258789,163356.29850200005,1.180202431092392
107,u_c_hilo,155200.98266500002,154613.958742,0.3782346689563898
108,u_c_hilo,155229.08996599997,154167.59997599997,0.6838215634920597
109,u_c_hilo,154238.14552,153888.16332799997,0.2269102697131764
110,u_c_hihi,8109440.191406,8037471.314452999,0.8874703463411682
111,u_c_hihi,7690950.546875,7579516.486396,1.4488984137894123
112,u_c_hihi,7597822.838992001,7542211.626220998,0.731936160522273
113,u_c_hihi,8215104.003906,7994908.693360001,2.680371550272576
114,u_c_hihi,8109440.191406,7970528.881661001,1.7129580645062426
115,u_c_hihi,7939755.25,7789827.596805,1.888315804130114
116,u_c_hihi,7616380.039062,7600491.353515,0.2086120370243027
117,u_c_hihi,7656499.625,7590583.108587999,0.8609223488599271
118,u_c_hihi,8109440.191406,7959773.082276,1.84559113326479
119,u_c_hihi,7990270.570312,7842129.402167999,1.8540194207493088
120,u_c_hihi,7558638.734375,7518388.461915,0.5325068954142531
121,u_c_hihi,7469811.996954999,7456681.144532,0.1757855810608388
122,u_c_lohi,263891.862426,260096.86914100003,1.438086513965231
123,u_c_lohi,262710.584473,256312.174488,2.43553566668634
124,u_c_lohi,244846.298828,244419.768799,0.1742031760503026
125,u_c_lohi,264930.543586,263288.612545,0.6197590578932322
126,u_c_lohi,263891.862426,258732.543945,1.9550881310130384
127,u_c_lohi,290929.42645100004,281648.941649,3.189943662698936
128,u_c_lohi,249078.032866,247028.641142,0.8227910347688328
129,u_c_lohi,245769.51303800003,244846.298828,0.3756422831245554
130,u_c_lohi,263891.862426,258241.052737,2.141335332227079
131,u_c_lohi,296163.560913,284719.95328700024,3.8639485528611073
132,u_c_lohi,251118.308592,247115.1057710001,1.5941501212896505
133,u_c_lohi,252622.52707600003,248821.53692299992,1.5046125129832943
134,u_c_lolo,5463.523794999998,5383.887715999998,1.4575955370209948
135,u_c_lolo,5195.003461,5178.4072940000015,0.319464022008642
136,u_c_lolo,5238.257306,5209.181187000001,0.5550723704750848
137,u_c_lolo,5195.911345,5175.789234,0.3872681742224659
138,u_c_lolo,5463.523794999998,5361.592660000001,1.8656665336257985
